locus_tag,substrate,genome
ASS_PB02_01731,molybdate,Bradyrhizobium
ASS_PB02_01746,valine|alanine|histidine|lysine|arginine,Bradyrhizobium
ASS_PB02_01746,valine|alanine|histidine|lysine|arginine,Bradyrhizobium
ASS_PB02_01746,valine|alanine|histidine|lysine|arginine,Bradyrhizobium
ASS_PB02_01746,valine|alanine|histidine|lysine|arginine,Bradyrhizobium
ASS_PB02_01822,potassium,Bradyrhizobium
ASS_PB02_01898,maltose,Bradyrhizobium
ASS_PB02_01898,maltose,Bradyrhizobium
ASS_PB02_01966,gamma-aminobutyric acid,Bradyrhizobium
ASS_PB02_02046,nickel|cobalt,Bradyrhizobium
ASS_PB02_02130,acetate,Bradyrhizobium
ASS_PB02_02153,proline|glycine|betaine,Bradyrhizobium
ASS_PB02_02153,proline|glycine|betaine,Bradyrhizobium
ASS_PB02_02297,taurine,Bradyrhizobium
ASS_PB02_02297,taurine,Bradyrhizobium
ASS_PB02_02369,glycine|l-threonine|l-serine|l-alanine,Bradyrhizobium
ASS_PB02_02386,cytidine,Bradyrhizobium
ASS_PB02_02396,glutamate|aspartate|sodium,Bradyrhizobium
ASS_PB02_02396,glutamate|aspartate|sodium,Bradyrhizobium
ASS_PB02_02400,guanosine,Bradyrhizobium
ASS_PB02_02648,sodium,Bradyrhizobium
ASS_PB02_02669,phosphate|d-fructose,Bradyrhizobium
ASS_PB02_02694,glucose,Bradyrhizobium
ASS_PB02_02697,cysteine|propionate|2-hydroxybutyrate|butyrate|lactate|histidine|alanine|pyruvate,Bradyrhizobium
ASS_PB02_02716,glutamate|phosphate|pantothenate|chloride|biotin,Bradyrhizobium
ASS_PB02_02806,butyrate,Bradyrhizobium
ASS_PB02_02866,potassium,Bradyrhizobium
ASS_PB02_02941,valine|leucine|serine|l-isoleucine|l-threonine|alanine,Bradyrhizobium
ASS_PB02_03019,folate|cobalt,Bradyrhizobium
ASS_PB02_03019,folate|cobalt,Bradyrhizobium
ASS_PB02_03019,folate|cobalt,Bradyrhizobium
ASS_PB02_03028,sulfate|zinc|chloride|sodium,Bradyrhizobium
ASS_PB02_03064,l-methionine,Bradyrhizobium
ASS_PB02_03064,l-methionine,Bradyrhizobium
ASS_PB02_03107,l-threonine|serine,Bradyrhizobium
ASS_PB02_03192,glycerol,Bradyrhizobium
ASS_PB02_03195,molybdate,Bradyrhizobium
ASS_PB02_03195,molybdate,Bradyrhizobium
ASS_PB02_03199,glycerol,Bradyrhizobium
ASS_PB02_03298,sodium,Bradyrhizobium
ASS_PB02_03574,chromate,Bradyrhizobium
ASS_PB02_03582,manganese,Bradyrhizobium
ASS_PB02_03598,pyrophosphate,Bradyrhizobium
ASS_PB02_03664,zinc|cobalt|cupper|cadmium|nickel,Bradyrhizobium
ASS_PB02_03665,zinc|nickel|cobalt|cadmium,Bradyrhizobium
ASS_PB02_03669,cupper,Bradyrhizobium
ASS_PB02_03683,potassium|ferrichrome,Bradyrhizobium
ASS_PB02_03694,iron,Bradyrhizobium
ASS_PB02_03760,glucose,Bradyrhizobium
ASS_PB02_03841,nickel|cobalt,Bradyrhizobium
ASS_PB02_03934,histidine|glutamine|lysine|arginine,Bradyrhizobium
ASS_PB02_04033,maltotetraose|maltose|trehalose,Bradyrhizobium
ASS_PB02_04111,d-galactonate|gluconate,Bradyrhizobium
ASS_PB02_04126,methionine,Bradyrhizobium
ASS_PB02_04127,succinate|citrate,Bradyrhizobium
ASS_PB02_04127,succinate|citrate,Bradyrhizobium
ASS_PB02_04127,succinate|citrate,Bradyrhizobium
ASS_PB02_04127,succinate|citrate,Bradyrhizobium
ASS_PB02_04213,asparagine|glutamate|aspartate|glutamine,Bradyrhizobium
ASS_PB02_04213,asparagine|glutamate|aspartate|glutamine,Bradyrhizobium
ASS_PB02_04216,glutamate|tyrosine|valine|glutamine|asparagine|l-proline|serine|l-glutamic acid|l-threonine|histidine|alanine|lysine|arginine,Bradyrhizobium
ASS_PB02_04218,phosphate,Bradyrhizobium
ASS_PB02_04408,malate|fumarate|succinate,Bradyrhizobium
ASS_PB02_04409,biotin,Bradyrhizobium
ASS_PB02_04467,chloride|deoxycholate|sulfate|sodium|thiamine,Bradyrhizobium
ASS_PB02_04669,potassium|arabinose,Bradyrhizobium
ASS_PB02_04677,sulfate|thiamine|chloride|sodium,Bradyrhizobium
ASS_PB02_04678,phosphate,Bradyrhizobium
ASS_PB02_04699,chloride,Bradyrhizobium
ASS_PB02_04746,l-proline,Bradyrhizobium
ASS_PB02_04746,l-proline,Bradyrhizobium
ASS_PB02_04746,l-proline,Bradyrhizobium
ASS_PB02_04746,l-proline,Bradyrhizobium
ASS_PB02_04760,iron|manganese|zinc,Bradyrhizobium
ASS_PB02_04815,maltodextrin,Bradyrhizobium
ASS_PB02_04815,maltodextrin,Bradyrhizobium
ASS_PB02_04848,phosphate,Bradyrhizobium
ASS_PB02_04849,trehalose|sulfate|maltose|maltodextrin,Bradyrhizobium
ASS_PB02_04849,trehalose|sulfate|maltose|maltodextrin,Bradyrhizobium
ASS_PB02_04864,glycerol|arabinose|glucose|fructose|lactose|galactose|mannose|inositol|maltose|galacturonate|trehalose|xylose,Bradyrhizobium
ASS_PB02_04868,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Bradyrhizobium
ASS_PB02_04868,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Bradyrhizobium
ASS_PB02_04868,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Bradyrhizobium
ASS_PB02_04948,putrescine,Bradyrhizobium
ASS_PB02_04951,potassium,Bradyrhizobium
ASS_PB02_04952,potassium,Bradyrhizobium
ASS_PB02_04954,sodium,Bradyrhizobium
ASS_PB02_04960,iron|heme,Bradyrhizobium
ASS_PB02_05028,zinc|cobalt|cupper|cadmium|nickel,Bradyrhizobium
ASS_PB02_05081,choline,Bradyrhizobium
ASS_PB02_05122,gamma-aminobutyric acid,Bradyrhizobium
ASS_PB02_05122,gamma-aminobutyric acid,Bradyrhizobium
ASS_PB02_05215,glucose|xylose,Bradyrhizobium
ASS_PB02_05236,carnitine|crotonobetaine,Bradyrhizobium
ASS_PB02_05326,glycine|thiamine|betaine,Bradyrhizobium
ASS_PB02_05326,glycine|thiamine|betaine,Bradyrhizobium
ASS_PB02_05401,nickel,Bradyrhizobium
ASS_PB02_05403,nickel,Bradyrhizobium
ASS_PB02_05412,choline,Bradyrhizobium
ASS_PB02_05468,arabinose|glucose|mannose|galactose|sucrose|maltose|trehalose|xylose,Bradyrhizobium
ASS_PB02_05471,stachyose|glucose|sucrose|choline|maltotetraose|maltose|maltoheptaose|raffinose|trehalose|xylose|melibiose,Bradyrhizobium
ASS_PB02_05475,arabinose|fucose|glucose|galactose|xylose,Bradyrhizobium
ASS_PB02_05483,arabinose|glucose|xylose|ribose,Bradyrhizobium
ASS_PB02_05483,arabinose|glucose|xylose|ribose,Bradyrhizobium
ASS_PB02_05483,arabinose|glucose|xylose|ribose,Bradyrhizobium
ASS_PB02_05548,formate|oxalate,Bradyrhizobium
ASS_PB02_05690,zinc|cobalt|cadmium,Bradyrhizobium
ASS_PB02_05700,phosphate,Bradyrhizobium
ASS_PB02_05757,valine|methionine|isoleucine|leucine,Bradyrhizobium
ASS_PB02_05827,arabinose|2-oxoglutarate,Bradyrhizobium
ASS_PB02_05867,nickel,Bradyrhizobium
ASS_PB02_05931,sodium|nitrate|nitrite,Bradyrhizobium
ASS_PB02_05934,nitrate,Bradyrhizobium
ASS_PB02_05940,benzoate,Bradyrhizobium
ASS_PB02_05940,benzoate,Bradyrhizobium
ASS_PB02_05940,benzoate,Bradyrhizobium
ASS_PB02_05966,cupper,Bradyrhizobium
ASS_PB02_05986,sodium,Bradyrhizobium
ASS_PB02_06002,riboflavin,Bradyrhizobium
ASS_PB02_06013,trehalose|maltose,Bradyrhizobium
ASS_PB02_06019,xanthine|uracil,Bradyrhizobium
ASS_PB02_06065,iron,Bradyrhizobium
ASS_PB02_06065,iron,Bradyrhizobium
ASS_PB02_06065,iron,Bradyrhizobium
ASS_PB02_06090,chloride,Bradyrhizobium
ASS_PB02_06220,sodium,Bradyrhizobium
ASS_PB02_06397,heme,Bradyrhizobium
ASS_PB02_06397,heme,Bradyrhizobium
ASS_PB02_06398,iron,Bradyrhizobium
ASS_PB02_06461,glycerol|phosphate|trehalose|glucose,Bradyrhizobium
ASS_PB02_06595,phosphate,Bradyrhizobium
ASS_PB02_06645,sodium,Bradyrhizobium
ASS_PB02_06703,asparagine|glutamate|glutamine,Bradyrhizobium
ASS_PB02_06703,asparagine|glutamate|glutamine,Bradyrhizobium
ASS_PB02_06703,asparagine|glutamate|glutamine,Bradyrhizobium
ASS_PB02_06703,asparagine|glutamate|glutamine,Bradyrhizobium
ASS_PB02_06705,histidine|lysine|arginine,Bradyrhizobium
ASS_PB02_06725,sodium,Bradyrhizobium
ASS_PB02_06901,malate,Bradyrhizobium
ASS_PB02_06929,sulfate,Bradyrhizobium
ASS_PB02_07073,lactate|glycolate,Bradyrhizobium
ASS_PB02_07134,l-glutamic acid|glutamine,Bradyrhizobium
ASS_PB02_07134,l-glutamic acid|glutamine,Bradyrhizobium
ASS_PB02_07208,nickel,Bradyrhizobium
ASS_PB02_07222,iron|manganese,Bradyrhizobium
ASS_PB02_07222,iron|manganese,Bradyrhizobium
ASS_PB02_07223,iron|manganese|zinc,Bradyrhizobium
ASS_PB02_07224,iron|manganese,Bradyrhizobium
ASS_PB02_07336,xylan,Bradyrhizobium
ASS_PB02_07460,valine|leucine|serine|l-isoleucine|l-threonine|alanine,Bradyrhizobium
ASS_PB02_07464,sodium,Bradyrhizobium
ASS_PB02_07487,betaine|l-proline,Bradyrhizobium
ASS_PB02_07487,betaine|l-proline,Bradyrhizobium
ASS_PB02_07567,chloride|deoxycholate|cupper|citrate|nickel|sodium,Bradyrhizobium
ASS_PB02_07584,mannose,Bradyrhizobium
ASS_PB02_07612,phosphate,Bradyrhizobium
ASS_PB02_07654,proline|glycine|leucine|serine|histidine|alanine,Bradyrhizobium
ASS_PB02_07672,l-alanine,Bradyrhizobium
ASS_PB02_07746,urea,Bradyrhizobium
ASS_PB02_07772,sodium,Bradyrhizobium
ASS_PB02_07780,cysteine|chloride|uridine|sulfate|sodium|deoxyuridine,Bradyrhizobium
ASS_PB03_CTG1_00006,proline,Luteibacter
ASS_PB03_CTG1_00008,sodium,Luteibacter
ASS_PB03_CTG1_00063,l-cysteine|chloride,Luteibacter
ASS_PB03_CTG1_00099,zinc,Luteibacter
ASS_PB03_CTG1_00114,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Luteibacter
ASS_PB03_CTG1_00147,molybdate,Luteibacter
ASS_PB03_CTG1_00163,glycerol|arabinose|glucose|fructose|lactose|galactose|mannose|inositol|maltose|galacturonate|trehalose|xylose,Luteibacter
ASS_PB03_CTG1_00198,iron,Luteibacter
ASS_PB03_CTG1_00286,sodium,Luteibacter
ASS_PB03_CTG1_00365,stachyose|glucose|mannose|sucrose|maltotetraose|maltose|raffinose|trehalose,Luteibacter
ASS_PB03_CTG1_00368,heme,Luteibacter
ASS_PB03_CTG1_00369,iron|molybdate,Luteibacter
ASS_PB03_CTG1_00370,iron,Luteibacter
ASS_PB03_CTG1_00372,potassium,Luteibacter
ASS_PB03_CTG1_00372,potassium,Luteibacter
ASS_PB03_CTG1_00381,nickel|cobalt,Luteibacter
ASS_PB03_CTG1_00395,sulfate|chloride|sodium,Luteibacter
ASS_PB03_CTG1_00407,potassium|sodium,Luteibacter
ASS_PB03_CTG1_00540,sodium,Luteibacter
ASS_PB03_CTG1_00585,iron,Luteibacter
ASS_PB03_CTG1_00613,arsenate,Luteibacter
ASS_PB03_CTG1_00652,arabinose|glucose|xylose|ribose,Luteibacter
ASS_PB03_CTG1_00682,malate|itaconate|fumarate,Luteibacter
ASS_PB03_CTG1_00717,choline|glycine|betaine,Luteibacter
ASS_PB03_CTG1_00719,choline|glycine|betaine|l-proline,Luteibacter
ASS_PB03_CTG1_00766,riboflavin|l-threonine,Luteibacter
ASS_PB03_CTG1_00776,glucose|fructose|mannose|d-glucosamine|trehalose,Luteibacter
ASS_PB03_CTG1_00810,potassium,Luteibacter
ASS_PB03_CTG1_00813,sodium,Luteibacter
ASS_PB03_CTG1_00870,pyruvate,Luteibacter
ASS_PB03_CTG1_00908,tyrosine|serine|l-threonine|histidine|phenylalanine|tryptophan,Luteibacter
ASS_PB03_CTG1_00922,sodium,Luteibacter
ASS_PB03_CTG1_00932,ammonia,Luteibacter
ASS_PB03_CTG1_01088,sodium,Luteibacter
ASS_PB03_CTG1_01095,sodium,Luteibacter
ASS_PB03_CTG1_01130,glutamate,Luteibacter
ASS_PB03_CTG1_01146,l-cysteine,Luteibacter
ASS_PB03_CTG1_01182,glutamine,Luteibacter
ASS_PB03_CTG1_01207,chloride,Luteibacter
ASS_PB03_CTG1_01232,sodium,Luteibacter
ASS_PB03_CTG1_01288,malate|succinate|lactate|citrate|fumarate|2-oxoglutarate,Luteibacter
ASS_PB03_CTG1_01362,sodium,Luteibacter
ASS_PB03_CTG1_01455,zinc,Luteibacter
ASS_PB03_CTG1_01505,iron|manganese|zinc|cobalt|cadmium|nickel,Luteibacter
ASS_PB03_CTG1_01542,iron,Luteibacter
ASS_PB03_CTG1_01550,formate,Luteibacter
ASS_PB03_CTG1_01900,putrescine|spermidine,Luteibacter
ASS_PB03_CTG1_01902,thiosulfate|sulfate,Luteibacter
ASS_PB03_CTG1_01903,thiosulfate|sulfate|sodium,Luteibacter
ASS_PB03_CTG1_01935,zinc|chloride|deoxycholate|sulfate|cupper|sodium,Luteibacter
ASS_PB03_CTG1_01971,serine,Luteibacter
ASS_PB03_CTG1_02020,ferrichrome,Luteibacter
ASS_PB03_CTG1_02056,sodium,Luteibacter
ASS_PB03_CTG1_02089,valine|l-isoleucine|leucine,Luteibacter
ASS_PB03_CTG1_02171,potassium,Luteibacter
ASS_PB03_CTG1_02219,maltose,Luteibacter
ASS_PB03_CTG1_02222,salicin,Luteibacter
ASS_PB03_CTG1_02228,succinate|ornithine|sulfate|fumarate|aspartate|histidine|l-lysine|arginine,Luteibacter
ASS_PB03_CTG1_02256,potassium|chloride|sodium|cholate,Luteibacter
ASS_PB03_CTG1_02340,nickel,Luteibacter
ASS_PB03_CTG1_02369,iron,Luteibacter
ASS_PB03_CTG1_02415,potassium|sodium|calcium,Luteibacter
ASS_PB03_CTG1_02492,zinc|cobalt|cadmium,Luteibacter
ASS_PB03_CTG1_02520,l-histidine,Luteibacter
ASS_PB03_CTG1_02536,iron|succinate,Luteibacter
ASS_PB03_CTG1_02548,arabinose|deoxycholate|histidine|lysine|arginine,Luteibacter
ASS_PB03_CTG1_02552,heme,Luteibacter
ASS_PB03_CTG1_02601,d-glucosamine,Luteibacter
ASS_PB03_CTG1_02619,chloride,Luteibacter
ASS_PB03_CTG1_02623,nickel|cobalt,Luteibacter
ASS_PB03_CTG1_02684,manganese,Luteibacter
ASS_PB03_CTG1_02786,zinc|cadmium,Luteibacter
ASS_PB03_CTG1_02849,phosphate,Luteibacter
ASS_PB03_CTG1_02851,chloride,Luteibacter
ASS_PB03_CTG1_02887,cupper,Luteibacter
ASS_PB03_CTG1_02918,zinc,Luteibacter
ASS_PB03_CTG1_02918,zinc,Luteibacter
ASS_PB03_CTG1_02950,arabinose|chloride,Luteibacter
ASS_PB03_CTG1_03057,coa,Luteibacter
ASS_PB03_CTG1_03159,nickel|cobalt,Luteibacter
ASS_PB03_CTG1_03213,chloride,Luteibacter
ASS_PB03_CTG1_03216,iron,Luteibacter
ASS_PB03_CTG1_03369,xanthine|uracil,Luteibacter
ASS_PB03_CTG1_03469,sodium,Luteibacter
ASS_PB03_CTG1_03480,sulfate|zinc|chloride|sodium,Luteibacter
ASS_PB03_CTG1_03481,chloride,Luteibacter
ASS_PB03_CTG1_03496,potassium,Luteibacter
ASS_PB03_CTG1_03501,phosphate,Luteibacter
ASS_PB03_CTG1_03519,tyrosine|valine|methionine|leucine|serine|isoleucine|l-threonine|l-isoleucine|phenylalanine|alanine,Luteibacter
ASS_PB03_CTG1_03524,mannose,Luteibacter
ASS_PB03_CTG1_03526,fructose,Luteibacter
ASS_PB03_CTG1_03580,ethanol,Luteibacter
ASS_PB03_CTG1_03606,phosphate,Luteibacter
ASS_PB03_CTG1_03716,arabinose,Luteibacter
ASS_PB03_CTG1_03732,glycerol,Luteibacter
ASS_PB03_CTG1_03739,nad,Luteibacter
ASS_PB03_CTG1_03756,l-threonine,Luteibacter
ASS_PB03_CTG1_03779,glycine|d-alanine|d-serine|serine,Luteibacter
ASS_PB03_CTG1_03861,glutamate,Luteibacter
ASS_PB03_CTG1_03880,glycerol,Luteibacter
ASS_PB03_CTG1_03907,pyrophosphate,Luteibacter
ASS_PB03_CTG1_03934,glucose,Luteibacter
ASS_PB03_CTG1_03985,sulfate,Luteibacter
ASS_PB03_CTG1_04064,sodium,Luteibacter
ASS_PB03_CTG1_04086,magnesium,Luteibacter
ASS_PB03_CTG1_04169,lactose|fucose|d-mannitol|maltose|trehalose|maltodextrin|melibiose,Luteibacter
ASS_PB03_CTG1_04171,trehalose,Luteibacter
ASS_PB03_CTG1_04172,trehalose|maltose|sucrose,Luteibacter
ASS_PB03_CTG1_04375,potassium,Luteibacter
ASS_PB03_CTG1_04406,choline,Luteibacter
ASS_PB03_CTG1_04436,deoxyguanosine|xylitol|arabinose|xylose,Luteibacter
ASS_PB04_00041,phosphate|d-fructose,Phenlyobacterium
ASS_PB04_00055,sodium,Phenlyobacterium
ASS_PB04_00103,glycine|l-threonine|l-serine|l-alanine,Phenlyobacterium
ASS_PB04_00106,nad,Phenlyobacterium
ASS_PB04_00107,potassium,Phenlyobacterium
ASS_PB04_00205,mannose,Phenlyobacterium
ASS_PB04_00208,nickel|cobalt,Phenlyobacterium
ASS_PB04_00272,heme,Phenlyobacterium
ASS_PB04_00323,iron,Phenlyobacterium
ASS_PB04_00416,sodium,Phenlyobacterium
ASS_PB04_00418,betaine|l-proline,Phenlyobacterium
ASS_PB04_00418,betaine|l-proline,Phenlyobacterium
ASS_PB04_00450,gamma-aminobutyric acid,Phenlyobacterium
ASS_PB04_00459,fructose,Phenlyobacterium
ASS_PB04_00508,iron|succinate,Phenlyobacterium
ASS_PB04_00544,sodium,Phenlyobacterium
ASS_PB04_00563,biotin,Phenlyobacterium
ASS_PB04_00667,potassium,Phenlyobacterium
ASS_PB04_00667,potassium,Phenlyobacterium
ASS_PB04_00693,potassium,Phenlyobacterium
ASS_PB04_00779,chloride,Phenlyobacterium
ASS_PB04_00897,sucrose,Phenlyobacterium
ASS_PB04_00902,phosphate,Phenlyobacterium
ASS_PB04_00910,zinc|cobalt|cupper|cadmium|nickel,Phenlyobacterium
ASS_PB04_01139,iron,Phenlyobacterium
ASS_PB04_01175,potassium|sodium,Phenlyobacterium
ASS_PB04_01194,guanosine,Phenlyobacterium
ASS_PB04_01289,phosphate,Phenlyobacterium
ASS_PB04_01290,potassium,Phenlyobacterium
ASS_PB04_01296,potassium,Phenlyobacterium
ASS_PB04_01305,zinc|chloride|deoxycholate|sulfate|cupper|sodium,Phenlyobacterium
ASS_PB04_01321,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Phenlyobacterium
ASS_PB04_01336,glycerol,Phenlyobacterium
ASS_PB04_01381,coa,Phenlyobacterium
ASS_PB04_01452,glutamate|malate|benzoate|acetate|succinate|fumarate|aspartate,Phenlyobacterium
ASS_PB04_01478,fructose,Phenlyobacterium
ASS_PB04_01493,chromate,Phenlyobacterium
ASS_PB04_01512,sodium,Phenlyobacterium
ASS_PB04_01579,arabinose|deoxycholate|histidine|lysine|arginine,Phenlyobacterium
ASS_PB04_01607,choline|glycine|betaine,Phenlyobacterium
ASS_PB04_01608,proline|glycine|betaine,Phenlyobacterium
ASS_PB04_01608,proline|glycine|betaine,Phenlyobacterium
ASS_PB04_01643,thiosulfate|sulfate,Phenlyobacterium
ASS_PB04_01644,molybdate|sodium,Phenlyobacterium
ASS_PB04_01676,sulfate|zinc|chloride|sodium,Phenlyobacterium
ASS_PB04_01823,sodium,Phenlyobacterium
ASS_PB04_01934,fad|chloride|sodium|citrate,Phenlyobacterium
ASS_PB04_02003,iron,Phenlyobacterium
ASS_PB04_02049,ammonia,Phenlyobacterium
ASS_PB04_02177,sodium,Phenlyobacterium
ASS_PB04_02253,iron|heme,Phenlyobacterium
ASS_PB04_02293,pyrophosphate,Phenlyobacterium
ASS_PB04_02332,glutamate|tyrosine|valine|glutamine|asparagine|l-proline|serine|l-glutamic acid|l-threonine|histidine|alanine|lysine|arginine,Phenlyobacterium
ASS_PB04_02482,formate,Phenlyobacterium
ASS_PB04_02488,iron,Phenlyobacterium
ASS_PB04_02605,asparagine|cysteine|s-adenosyl-l-methionine|glutamine,Phenlyobacterium
ASS_PB04_02636,valine|l-isoleucine|leucine,Phenlyobacterium
ASS_PB04_02641,l-cysteine,Phenlyobacterium
ASS_PB04_02641,l-cysteine,Phenlyobacterium
ASS_PB04_02697,sodium,Phenlyobacterium
ASS_PB04_02703,chloride,Phenlyobacterium
ASS_PB04_02712,potassium|arabinose,Phenlyobacterium
ASS_PB04_02779,putrescine,Phenlyobacterium
ASS_PB04_02779,putrescine,Phenlyobacterium
ASS_PB04_02780,putrescine|spermidine,Phenlyobacterium
ASS_PB04_02900,l-histidine,Phenlyobacterium
ASS_PB04_02948,thiosulfate|sulfate,Phenlyobacterium
ASS_PB04_02950,sulfate,Phenlyobacterium
ASS_PB04_02951,thiosulfate|sulfate|sodium,Phenlyobacterium
ASS_PB04_02987,phosphate,Phenlyobacterium
ASS_PB04_02989,phosphate,Phenlyobacterium
ASS_PB04_03038,zinc|cobalt|cupper|cadmium|nickel,Phenlyobacterium
ASS_PB04_03105,agmatine|arginine,Phenlyobacterium
ASS_PB04_03168,salicin,Phenlyobacterium
ASS_PB04_03176,nickel,Phenlyobacterium
ASS_PB04_03248,glucose|fructose|mannose|d-glucosamine|trehalose,Phenlyobacterium
ASS_PB04_03253,glutamate|phosphate|cysteine|gtp|potassium|galacturonate|sodium|glucuronate,Phenlyobacterium
ASS_PB04_03299,urea,Phenlyobacterium
ASS_PB04_03739,nitrate,Phenlyobacterium
ASS_PB04_03773,nickel,Phenlyobacterium
ASS_PB04_03774,nickel,Phenlyobacterium
ASS_PB04_03993,arabinose|2-oxoglutarate,Phenlyobacterium
ASS_PB04_04072,riboflavin,Phenlyobacterium
ASS_PB04_04126,calcium,Phenlyobacterium
ASS_PB04_04132,chloride,Phenlyobacterium
ASS_PB04_04197,sodium,Phenlyobacterium
ASS_PB04_04210,nicotinamide,Phenlyobacterium
ASS_PB04_04255,sodium,Phenlyobacterium
ASS_PB04_04354,phosphate,Phenlyobacterium
ASS_PB04_04408,potassium|sodium,Phenlyobacterium
ASS_PB04_04410,arabinose,Phenlyobacterium
ASS_PB04_04475,zinc,Phenlyobacterium
ASS_PB05_00020,magnesium,Mesorhizobium
ASS_PB05_00050,nickel|cobalt,Mesorhizobium
ASS_PB05_00052,nickel,Mesorhizobium
ASS_PB05_00069,nickel,Mesorhizobium
ASS_PB05_00071,nickel,Mesorhizobium
ASS_PB05_00071,nickel,Mesorhizobium
ASS_PB05_00071,nickel,Mesorhizobium
ASS_PB05_00102,cobalt,Mesorhizobium
ASS_PB05_00123,l-alanine,Mesorhizobium
ASS_PB05_00124,nickel|l-alanine,Mesorhizobium
ASS_PB05_00125,coa,Mesorhizobium
ASS_PB05_00139,formate,Mesorhizobium
ASS_PB05_00151,putrescine|spermidine,Mesorhizobium
ASS_PB05_00195,zinc|cupper|cadmium,Mesorhizobium
ASS_PB05_00198,phosphate|d-fructose,Mesorhizobium
ASS_PB05_00221,potassium|sodium,Mesorhizobium
ASS_PB05_00232,biotin,Mesorhizobium
ASS_PB05_00300,stachyose|glucose|mannose|sucrose|maltotetraose|maltose|raffinose|trehalose,Mesorhizobium
ASS_PB05_00301,trehalose,Mesorhizobium
ASS_PB05_00313,arabinose,Mesorhizobium
ASS_PB05_00332,maltotetraose|maltose|trehalose,Mesorhizobium
ASS_PB05_00370,nicotinamide,Mesorhizobium
ASS_PB05_00421,betaine|l-proline,Mesorhizobium
ASS_PB05_00421,betaine|l-proline,Mesorhizobium
ASS_PB05_00429,trehalose|maltose|sucrose,Mesorhizobium
ASS_PB05_00481,arabinose|glucose|mannose|galactose|sucrose|maltose|trehalose|xylose,Mesorhizobium
ASS_PB05_00514,sulfate|chloride|sodium,Mesorhizobium
ASS_PB05_00524,trehalose,Mesorhizobium
ASS_PB05_00527,stachyose|glucose|sucrose|choline|maltotetraose|maltose|maltoheptaose|raffinose|trehalose|xylose|melibiose,Mesorhizobium
ASS_PB05_00527,stachyose|glucose|sucrose|choline|maltotetraose|maltose|maltoheptaose|raffinose|trehalose|xylose|melibiose,Mesorhizobium
ASS_PB05_00545,nickel,Mesorhizobium
ASS_PB05_00581,trehalose|maltose,Mesorhizobium
ASS_PB05_00581,trehalose|maltose,Mesorhizobium
ASS_PB05_00591,xylose,Mesorhizobium
ASS_PB05_00640,mannose,Mesorhizobium
ASS_PB05_00659,benzoate,Mesorhizobium
ASS_PB05_00688,deoxycholate,Mesorhizobium
ASS_PB05_00731,sulfate|thiamine|chloride|sodium,Mesorhizobium
ASS_PB05_00774,iron,Mesorhizobium
ASS_PB05_00776,iron,Mesorhizobium
ASS_PB05_00796,sulfate,Mesorhizobium
ASS_PB05_00809,sulfate,Mesorhizobium
ASS_PB05_00818,cupper,Mesorhizobium
ASS_PB05_00884,taurine,Mesorhizobium
ASS_PB05_00886,taurine,Mesorhizobium
ASS_PB05_00925,choline,Mesorhizobium
ASS_PB05_00998,sodium,Mesorhizobium
ASS_PB05_01039,heme,Mesorhizobium
ASS_PB05_01040,heme,Mesorhizobium
ASS_PB05_01074,iron|succinate,Mesorhizobium
ASS_PB05_01086,ammonia,Mesorhizobium
ASS_PB05_01151,sodium,Mesorhizobium
ASS_PB05_01208,sodium,Mesorhizobium
ASS_PB05_01214,sodium,Mesorhizobium
ASS_PB05_01285,tyrosine|valine|methionine|leucine|serine|isoleucine|l-threonine|l-isoleucine|phenylalanine|alanine,Mesorhizobium
ASS_PB05_01290,gamma-aminobutyric acid,Mesorhizobium
ASS_PB05_01291,sodium,Mesorhizobium
ASS_PB05_01341,sodium,Mesorhizobium
ASS_PB05_01348,zinc,Mesorhizobium
ASS_PB05_01359,iron|manganese|zinc,Mesorhizobium
ASS_PB05_01361,thiamine,Mesorhizobium
ASS_PB05_01447,potassium,Mesorhizobium
ASS_PB05_01448,phosphate,Mesorhizobium
ASS_PB05_01472,phosphate,Mesorhizobium
ASS_PB05_01531,phosphate,Mesorhizobium
ASS_PB05_01640,lysine,Mesorhizobium
ASS_PB05_01767,iron,Mesorhizobium
ASS_PB05_01768,iron,Mesorhizobium
ASS_PB05_01870,glycine|betaine,Mesorhizobium
ASS_PB05_01887,iron,Mesorhizobium
ASS_PB05_01900,glucose|xylose,Mesorhizobium
ASS_PB05_01963,fructose,Mesorhizobium
ASS_PB05_01996,potassium,Mesorhizobium
ASS_PB05_02029,thiamine,Mesorhizobium
ASS_PB05_02048,cytidine,Mesorhizobium
ASS_PB05_02103,phosphate,Mesorhizobium
ASS_PB05_02107,malate|succinate|lactate|citrate|fumarate|2-oxoglutarate,Mesorhizobium
ASS_PB05_02175,zinc|cadmium,Mesorhizobium
ASS_PB05_02190,sodium,Mesorhizobium
ASS_PB05_02235,sodium,Mesorhizobium
ASS_PB05_02238,sodium,Mesorhizobium
ASS_PB05_02248,spermidine,Mesorhizobium
ASS_PB05_02264,glucose,Mesorhizobium
ASS_PB05_02324,arabinose,Mesorhizobium
