locus_tag,genome,substrate,TC,assembly_code,shortname
PB02_03195,PB02,molybdate,3.A.1.6.6,PB02,Bra
PB02_03199,PB02,glycerol,1.B.19.1.1,PB02,Bra
PB02_03298,PB02,sodium,3.B.1.1.2,PB02,Bra
PB02_03408,PB02,chloride|copper|l-cysteine|phenylacetate,2.A.1.2.7,PB02,Bra
PB02_03574,PB02,chromate,2.A.51.1.4,PB02,Bra
PB02_03579,PB02,arsenite,2.A.1.70.9,PB02,Bra
PB02_03582,PB02,manganese,2.A.55.2.6,PB02,Bra
PB02_03598,PB02,pyrophosphate,3.A.10.2.1,PB02,Bra
PB02_03664,PB02,cadmium|cobalt|copper|nickel|zinc,2.A.4.1.1,PB02,Bra
PB02_03665,PB02,cadmium|cobalt|nickel|zinc,2.A.6.1.16,PB02,Bra
PB02_03669,PB02,copper,2.A.6.1.4,PB02,Bra
PB02_03680,PB02,phosphate,2.A.1.49.7,PB02,Bra
PB02_03683,PB02,ferrichrome|potassium,1.B.14.1.2|1.B.14.1.26,PB02,Bra
PB02_03694,PB02,iron,3.D.1.6.1,PB02,Bra
PB02_03760,PB02,glucose,3.A.1.1.30,PB02,Bra
PB02_03841,PB02,cobalt|nickel,2.A.113.1.3,PB02,Bra
PB02_03934,PB02,arginine|glutamine|histidine|lysine,3.A.1.3.12,PB02,Bra
PB02_03995,PB02,nad,1.A.115.1.3,PB02,Bra
PB02_04033,PB02,maltose|maltotetraose|trehalose,3.A.1.1.22,PB02,Bra
PB02_04111,PB02,d-galactonate|gluconate,2.A.56.1.9,PB02,Bra
PB02_04126,PB02,methionine,3.A.1.24.1,PB02,Bra
PB02_04127,PB02,citrate|succinate,2.A.47.3.2,PB02,Bra
PB02_04190,PB02,sulfate,2.A.53.4.1,PB02,Bra
PB02_04213,PB02,asparagine|aspartate|glutamate|glutamine,3.A.1.3.7,PB02,Bra
PB02_04216,PB02,alanine|arginine|asparagine|glutamate|glutamine|histidine|l-glutamic acid|l-proline|l-threonine|lysine|serine|tyrosine|valine,3.A.1.3.2|3.A.1.3.26,PB02,Bra
PB02_04218,PB02,phosphate,2.A.58.2.1,PB02,Bra
PB02_04408,PB02,fumarate|malate|succinate,2.A.23.1.6,PB02,Bra
PB02_04409,PB02,biotin,2.A.88.1.4,PB02,Bra
PB02_04467,PB02,chloride|deoxycholate|sodium|sulfate|thiamine,2.A.7.1.11,PB02,Bra
PB02_04669,PB02,arabinose|potassium,2.A.1.2.3,PB02,Bra
PB02_04677,PB02,chloride|sodium|sulfate|thiamine,2.A.7.1.10|2.A.7.1.4,PB02,Bra
PB02_04678,PB02,phosphate,2.A.20.1.4,PB02,Bra
PB02_04699,PB02,chloride,2.A.49.6.2,PB02,Bra
PB02_04746,PB02,l-proline,3.A.1.3.21,PB02,Bra
PB02_04754,PB02,arabinose|arginine|deoxycholate|histidine|lysine,2.A.1.3.2|2.A.1.3.26,PB02,Bra
PB02_04760,PB02,iron|manganese|zinc,3.A.1.15.17,PB02,Bra
PB02_04815,PB02,maltodextrin,3.A.1.1.16,PB02,Bra
PB02_04848,PB02,phosphate,3.A.1.20.2,PB02,Bra
PB02_04849,PB02,maltodextrin|maltose|sulfate|trehalose,3.A.1.19.6,PB02,Bra
PB02_04864,PB02,arabinose|fructose|galactose|galacturonate|glucose|glycerol|inositol|lactose|maltose|mannose|trehalose|xylose,2.A.1.1.1,PB02,Bra
PB02_04868,PB02,chloride|copper|deoxycholate|sodium|sulfate|thiamine|zinc,2.A.6.2.1,PB02,Bra
PB02_04948,PB02,putrescine,3.A.1.11.2,PB02,Bra
PB02_04951,PB02,potassium,2.A.72.1.1,PB02,Bra
PB02_04952,PB02,potassium,2.A.72.1.2,PB02,Bra
PB02_04954,PB02,sodium,1.A.30.1.2,PB02,Bra
PB02_04960,PB02,heme|iron,3.A.1.210.1|3.A.1.210.15,PB02,Bra
PB02_05020,PB02,pyruvate,2.A.56.3.3,PB02,Bra
PB02_05028,PB02,cadmium|cobalt|copper|nickel|zinc,2.A.6.1.1|2.A.6.1.17,PB02,Bra
PB02_05036,PB02,pyruvate,2.A.56.3.4,PB02,Bra
PB02_05040,PB02,sodium,2.A.62.1.5,PB02,Bra
PB02_05081,PB02,choline,3.A.1.1.50,PB02,Bra
PB02_05122,PB02,gamma-aminobutyric acid,3.A.1.4.3,PB02,Bra
PB02_05215,PB02,glucose|xylose,3.A.1.2.20,PB02,Bra
PB02_05236,PB02,carnitine|crotonobetaine,4.C.1.1.6,PB02,Bra
PB02_05326,PB02,betaine|glycine|thiamine,3.A.1.12.11|3.A.1.19.2,PB02,Bra
PB02_05401,PB02,nickel,3.A.1.5.33,PB02,Bra
PB02_05403,PB02,nickel,3.A.1.5.40,PB02,Bra
PB02_05412,PB02,choline,3.A.1.12.3,PB02,Bra
PB02_05468,PB02,arabinose|galactose|glucose|maltose|mannose|sucrose|trehalose|xylose,3.A.1.1.1|3.A.1.1.17,PB02,Bra
PB02_05471,PB02,choline|glucose|maltoheptaose|maltose|maltotetraose|melibiose|raffinose|stachyose|sucrose|trehalose|xylose,3.A.1.1.5,PB02,Bra
PB02_05475,PB02,arabinose|fucose|galactose|glucose|xylose,3.A.1.2.5,PB02,Bra
PB02_05483,PB02,arabinose|glucose|ribose|xylose,3.A.1.2.2,PB02,Bra
PB02_05495,PB02,sulfate,2.A.98.1.2,PB02,Bra
PB02_05548,PB02,formate|oxalate,2.A.1.11.1,PB02,Bra
PB02_05559,PB02,manganese,2.A.4.7.7,PB02,Bra
PB02_05608,PB02,glycerol,1.A.8.12.1,PB02,Bra
PB02_05690,PB02,cadmium|cobalt|zinc,2.A.6.1.11,PB02,Bra
PB02_05700,PB02,phosphate,2.A.20.1.1,PB02,Bra
PB02_05757,PB02,isoleucine|leucine|methionine|valine,3.A.1.4.14,PB02,Bra
PB02_05798,PB02,copper,2.A.6.3.7,PB02,Bra
PB02_05827,PB02,2-oxoglutarate|arabinose,2.A.1.6.2,PB02,Bra
PB02_05867,PB02,nickel,3.A.1.5.43,PB02,Bra
PB02_05925,PB02,riboflavin,2.A.7.3.54,PB02,Bra
PB02_05931,PB02,nitrate|nitrite|sodium,2.A.1.8.1|2.A.1.8.17,PB02,Bra
PB02_05934,PB02,nitrate,3.A.1.16.4,PB02,Bra
PB02_05940,PB02,benzoate,2.A.1.15.7,PB02,Bra
PB02_05966,PB02,copper,3.A.3.27.5,PB02,Bra
PB02_05986,PB02,sodium,2.A.56.1.3,PB02,Bra
PB02_06002,PB02,riboflavin,2.A.1.3.72,PB02,Bra
PB02_06013,PB02,maltose|trehalose,3.A.1.1.7,PB02,Bra
PB02_06019,PB02,uracil|xanthine,2.A.1.40.7,PB02,Bra
PB02_06065,PB02,iron,3.A.1.20.1,PB02,Bra
PB02_06090,PB02,chloride,1.A.43.1.1,PB02,Bra
PB02_06095,PB02,malate|sodium,2.A.24.2.3,PB02,Bra
PB02_06210,PB02,alanine|aspartate,2.A.81.1.6,PB02,Bra
PB02_06220,PB02,sodium,2.A.33.1.1,PB02,Bra
PB02_06397,PB02,heme,3.D.3.3.1,PB02,Bra
PB02_06398,PB02,iron,3.D.3.1.1,PB02,Bra
PB02_06461,PB02,glucose|glycerol|phosphate|trehalose,3.A.1.1.3|3.A.1.1.35,PB02,Bra
PB02_06595,PB02,phosphate,2.A.1.42.2,PB02,Bra
PB02_06645,PB02,sodium,3.B.1.1.4,PB02,Bra
PB02_06703,PB02,asparagine|glutamate|glutamine,3.A.1.3.25,PB02,Bra
PB02_06705,PB02,arginine|histidine|lysine,3.A.1.3.27,PB02,Bra
PB02_06725,PB02,sodium,1.A.104.1.1,PB02,Bra
PB02_06868,PB02,l-serine,2.A.76.1.9,PB02,Bra
PB02_06889,PB02,adenosine|guanosine|inosine|phosphate,2.A.1.2.25,PB02,Bra
PB02_06901,PB02,malate,2.A.69.3.2,PB02,Bra
PB02_06929,PB02,sulfate,2.A.53.3.9,PB02,Bra
PB02_07073,PB02,glycolate|lactate,2.A.14.1.2,PB02,Bra
PB02_07134,PB02,glutamine|l-glutamic acid,3.A.1.3.22,PB02,Bra
PB02_07208,PB02,nickel,2.A.113.1.7,PB02,Bra
PB02_07222,PB02,iron|manganese,3.A.1.15.4,PB02,Bra
PB02_07223,PB02,iron|manganese|zinc,3.A.1.15.1|3.A.1.15.10,PB02,Bra
PB02_07224,PB02,iron|manganese,3.A.1.15.20,PB02,Bra
PB02_07339,PB02,xylan,3.A.1.5.29,PB02,Bra
PB02_07363,PB02,dctp|fumarate|itaconate|malate|succinate,2.A.56.1.1|2.A.56.1.10,PB02,Bra
PB02_07429,PB02,iron,2.A.89.2.2,PB02,Bra
PB02_07463,PB02,alanine|l-isoleucine|l-threonine|leucine|serine|valine,3.A.1.4.10,PB02,Bra
PB02_07467,PB02,sodium,3.A.1.115.2,PB02,Bra
PB02_07490,PB02,betaine|l-proline,3.A.1.5.17,PB02,Bra
PB02_07509,PB02,acetate|citrate|glycolate|lactate|pyruvate,2.A.1.6.1|2.A.1.6.11,PB02,Bra
PB02_07570,PB02,chloride|citrate|copper|deoxycholate|nickel|sodium,2.A.66.1.3,PB02,Bra
PB02_07587,PB02,mannose,3.A.1.2.7,PB02,Bra
PB02_07615,PB02,phosphate,3.A.1.7.1,PB02,Bra
PB02_07657,PB02,alanine|glycine|histidine|leucine|proline|serine,3.A.1.4.2,PB02,Bra
PB02_07675,PB02,l-alanine,3.A.1.5.38,PB02,Bra
PB02_07695,PB02,riboflavin,2.A.1.81.5,PB02,Bra
PB02_07749,PB02,urea,3.A.1.4.5,PB02,Bra
PB02_07775,PB02,sodium,2.A.36.3.3,PB02,Bra
PB02_07783,PB02,chloride|cysteine|deoxyuridine|sodium|sulfate|uridine,2.A.1.3.3|2.A.1.3.36,PB02,Bra
PB02_07828,PB02,betaine|glycine|l-proline|proline|sodium|taurine,2.A.1.6.4,PB02,Bra
PB03_00006,PB03a,proline,2.C.1.1.12,PB03,Lut
PB03_00008,PB03a,sodium,1.A.30.2.1,PB03,Lut
PB03_00012,PB03a,proline,2.A.21.9.2,PB03,Lut
PB03_00016,PB03a,acetate|citrate|glycolate|lactate|pyruvate,2.A.1.6.1|2.A.1.6.11,PB03,Lut
PB03_00063,PB03a,chloride|l-cysteine,2.A.1.3.1,PB03,Lut
PB03_00099,PB03a,zinc,3.A.1.15.3,PB03,Lut
PB03_00114,PB03a,chloride|copper|deoxycholate|sodium|sulfate|thiamine|zinc,2.A.6.2.1,PB03,Lut
PB03_00147,PB03a,molybdate,3.A.1.8.1,PB03,Lut
PB03_00163,PB03a,arabinose|fructose|galactose|galacturonate|glucose|glycerol|inositol|lactose|maltose|mannose|trehalose|xylose,2.A.1.1.1,PB03,Lut
PB03_00198,PB03a,iron,3.A.1.14.8,PB03,Lut
PB03_00199,PB03a,cyanocob(iii)alamin,3.A.1.14.23,PB03,Lut
PB03_00285,PB03a,sodium,3.A.2.1.2,PB03,Lut
PB03_00364,PB03a,glucose|maltose|maltotetraose|mannose|raffinose|stachyose|sucrose|trehalose,3.A.1.1.2|3.A.1.1.22,PB03,Lut
PB03_00367,PB03a,heme,3.A.1.14.21,PB03,Lut
PB03_00368,PB03a,iron|molybdate,3.A.1.14.1|3.A.1.14.18,PB03,Lut
PB03_00369,PB03a,iron,3.A.1.14.13|3.A.1.14.7,PB03,Lut
PB03_00371,PB03a,potassium,2.A.37.1.1,PB03,Lut
PB03_00380,PB03a,cobalt|nickel,3.A.1.23.5,PB03,Lut
PB03_00387,PB03a,copper,2.A.6.3.7,PB03,Lut
PB03_00394,PB03a,chloride|sodium|sulfate,2.A.66.1.1|2.A.66.1.12,PB03,Lut
PB03_00406,PB03a,potassium|sodium,2.A.36.3.2,PB03,Lut
PB03_00539,PB03a,sodium,2.A.28.3.4,PB03,Lut
PB03_00584,PB03a,iron,3.A.1.9.1,PB03,Lut
PB03_00610,PB03a,arsenate,2.A.59.1.3,PB03,Lut
PB03_00649,PB03a,arabinose|glucose|ribose|xylose,3.A.1.2.2|3.A.1.2.26,PB03,Lut
PB03_00679,PB03a,fumarate|itaconate|malate,2.A.23.1.3,PB03,Lut
PB03_00714,PB03a,betaine|choline|glycine,3.A.1.12.15,PB03,Lut
PB03_00715,PB03a,choline,3.A.1.12.3,PB03,Lut
PB03_00716,PB03a,betaine|choline|glycine|l-proline,3.A.1.12.10,PB03,Lut
PB03_00763,PB03a,l-threonine|riboflavin,2.A.7.3.6,PB03,Lut
PB03_00773,PB03a,d-glucosamine|fructose|glucose|mannose|trehalose,2.A.1.7.1|2.A.1.7.10,PB03,Lut
PB03_00807,PB03a,potassium,2.A.72.1.1,PB03,Lut
PB03_00810,PB03a,sodium,1.A.30.2.2,PB03,Lut
PB03_00867,PB03a,pyruvate,2.A.114.1.1,PB03,Lut
PB03_00905,PB03a,histidine|l-threonine|phenylalanine|serine|tryptophan|tyrosine,2.A.3.8.12,PB03,Lut
PB03_00919,PB03a,sodium,1.A.30.1.7,PB03,Lut
PB03_00929,PB03a,ammonia,1.A.11.1.4,PB03,Lut
PB03_00947,PB03a,sulfate,2.A.98.1.1,PB03,Lut
PB03_00961,PB03a,aspartate|glutamate,2.A.3.11.1,PB03,Lut
PB03_01086,PB03a,sodium,1.A.104.1.1,PB03,Lut
PB03_01093,PB03a,sodium,1.A.30.1.4,PB03,Lut
PB03_01128,PB03a,glutamate,3.A.1.3.9,PB03,Lut
PB03_01137,PB03a,l-threonine,2.A.79.1.2,PB03,Lut
PB03_01144,PB03a,l-cysteine,3.A.1.122.1,PB03,Lut
PB03_01180,PB03a,glutamine,2.A.66.4.3,PB03,Lut
PB03_01205,PB03a,chloride,2.A.6.2.23,PB03,Lut
PB03_01229,PB03a,sodium,3.B.1.1.2,PB03,Lut
PB03_01285,PB03a,2-oxoglutarate|citrate|fumarate|lactate|malate|succinate,2.A.1.12.3,PB03,Lut
PB03_01358,PB03a,sodium,3.B.1.1.4,PB03,Lut
PB03_01451,PB03a,zinc,3.A.29.1.5,PB03,Lut
PB03_01501,PB03a,cadmium|cobalt|iron|manganese|nickel|zinc,2.A.55.3.1,PB03,Lut
PB03_01538,PB03a,iron,3.D.1.6.1,PB03,Lut
PB03_01546,PB03a,formate,3.D.9.1.2,PB03,Lut
PB03_01620,PB03a,sodium,2.A.36.3.3,PB03,Lut
PB03_01753,PB03a,sodium,2.A.37.2.7,PB03,Lut
PB03_01754,PB03a,arabinose|deoxycholate,2.A.1.3.26,PB03,Lut
PB03_01879,PB03a,cadmium|calcium|cobalt|copper|lead|mercury|nickel|zinc,3.A.3.6.1|3.A.3.6.15,PB03,Lut
PB03_01891,PB03a,putrescine|spermidine,3.A.1.11.10,PB03,Lut
PB03_01893,PB03a,sulfate|thiosulfate,3.A.1.6.12,PB03,Lut
PB03_01894,PB03a,sodium|sulfate|thiosulfate,3.A.1.6.1,PB03,Lut
PB03_01925,PB03a,chloride|copper|deoxycholate|sodium|sulfate|zinc,2.A.6.2.12,PB03,Lut
PB03_01961,PB03a,serine,2.A.7.21.9,PB03,Lut
PB03_01969,PB03a,nad,1.A.115.1.3,PB03,Lut
PB03_02009,PB03a,ferrichrome,1.B.14.1.15,PB03,Lut
PB03_02041,PB03a,phosphate,2.A.20.1.1,PB03,Lut
PB03_02043,PB03a,sodium,1.A.46.2.8,PB03,Lut
PB03_02076,PB03a,l-isoleucine|leucine|valine,2.A.3.3.23,PB03,Lut
PB03_02136,PB03a,chloride,2.A.1.3.50,PB03,Lut
PB03_02141,PB03a,cellobiose|fructose|galactose|glucose|lactose|mannose|xylose,2.A.1.1.4|2.A.1.1.41,PB03,Lut
PB03_02148,PB03a,potassium,1.A.78.2.1|1.A.78.2.10,PB03,Lut
PB03_02158,PB03a,potassium,1.B.14.1.2,PB03,Lut
PB03_02206,PB03a,maltose,2.A.2.6.3,PB03,Lut
PB03_02209,PB03a,salicin,1.B.14.8.1,PB03,Lut
PB03_02215,PB03a,arginine|aspartate|fumarate|histidine|l-lysine|ornithine|succinate|sulfate,2.A.53.3.1|2.A.53.3.13,PB03,Lut
PB03_02243,PB03a,chloride|cholate|potassium|sodium,2.A.1.3.6,PB03,Lut
PB03_02317,PB03a,adenosine|cytidine|guanosine|inosine|thymidine,2.A.1.10.1,PB03,Lut
PB03_02325,PB03a,nickel,2.A.99.1.1,PB03,Lut
PB03_02329,PB03a,l-threonine|serine,2.A.76.1.1|2.A.76.1.10,PB03,Lut
PB03_02354,PB03a,iron,2.A.108.2.1,PB03,Lut
PB03_02400,PB03a,calcium|potassium|sodium,2.A.19.1.1,PB03,Lut
PB03_02477,PB03a,cadmium|cobalt|zinc,2.A.6.1.2,PB03,Lut
PB03_02505,PB03a,l-histidine,3.A.1.24.5,PB03,Lut
PB03_02521,PB03a,iron|succinate,3.D.10.1.6,PB03,Lut
PB03_02531,PB03a,chloride,1.B.17.3.10,PB03,Lut
PB03_02533,PB03a,arabinose|arginine|deoxycholate|histidine|lysine,2.A.1.3.2,PB03,Lut
PB03_02537,PB03a,heme,3.A.1.107.4,PB03,Lut
PB03_02586,PB03a,d-glucosamine,4.D.1.1.3,PB03,Lut
PB03_02604,PB03a,chloride,1.A.13.2.3,PB03,Lut
PB03_02608,PB03a,cobalt|nickel,3.A.1.210.9,PB03,Lut
PB03_02668,PB03a,manganese,2.A.55.2.6,PB03,Lut
PB03_02770,PB03a,cadmium|zinc,2.A.4.1.4,PB03,Lut
PB03_02792,PB03a,iron,3.A.1.10.2,PB03,Lut
PB03_02833,PB03a,phosphate,3.A.1.7.1,PB03,Lut
PB03_02835,PB03a,chloride,2.A.7.1.4,PB03,Lut
PB03_02872,PB03a,copper,3.A.3.5.30,PB03,Lut
PB03_02902,PB03a,zinc,2.A.5.4.17,PB03,Lut
PB03_02913,PB03a,l-alanine,2.A.7.3.19,PB03,Lut
PB03_02934,PB03a,arabinose|chloride,2.A.1.36.1,PB03,Lut
PB03_03039,PB03a,coa,4.C.1.1.4,PB03,Lut
PB03_03139,PB03a,cobalt|nickel,3.A.1.23.8,PB03,Lut
PB03_03182,PB03a,serine,2.A.95.1.6,PB03,Lut
PB03_03193,PB03a,chloride,1.A.12.3.1,PB03,Lut
PB03_03196,PB03a,iron,3.D.3.1.1,PB03,Lut
PB03_03349,PB03a,uracil|xanthine,2.A.1.40.7,PB03,Lut
PB03_03449,PB03a,sodium,3.A.1.115.2,PB03,Lut
PB03_03460,PB03a,chloride|sodium|sulfate|zinc,2.A.1.2.9,PB03,Lut
PB03_03461,PB03a,chloride,1.A.43.1.1,PB03,Lut
PB03_03476,PB03a,potassium,2.A.37.1.9,PB03,Lut
PB03_03481,PB03a,phosphate,2.A.20.1.5,PB03,Lut
PB03_03499,PB03a,alanine|isoleucine|l-isoleucine|l-threonine|leucine|methionine|phenylalanine|serine|tyrosine|valine,3.A.1.4.1|3.A.1.4.10,PB03,Lut
PB03_03504,PB03a,mannose,4.A.6.2.2,PB03,Lut
PB03_03506,PB03a,fructose,4.A.2.1.26,PB03,Lut
PB03_03559,PB03a,ethanol,3.A.1.103.5,PB03,Lut
PB03_03585,PB03a,phosphate,3.A.23.6.1,PB03,Lut
PB03_03693,PB03a,arabinose,2.A.1.2.14,PB03,Lut
PB03_03697,PB03a,arabinose,2.A.1.46.7,PB03,Lut
PB03_03703,PB03a,mannose,3.A.1.2.7,PB03,Lut
PB03_03709,PB03a,glycerol,1.B.19.1.1,PB03,Lut
PB03_03716,PB03a,nad,1.A.115.1.2,PB03,Lut
PB03_03733,PB03a,l-threonine,2.A.76.1.2,PB03,Lut
PB03_03755,PB03a,d-alanine|d-serine|glycine|serine,2.A.3.1.7,PB03,Lut
PB03_03771,PB03a,asparagine|cysteine|glutamine|s-adenosyl-l-methionine,2.A.7.3.2,PB03,Lut
PB03_03836,PB03a,glutamate,2.A.3.8.18,PB03,Lut
PB03_03855,PB03a,glycerol,1.A.8.1.1,PB03,Lut
PB03_03885,PB03a,pyrophosphate,3.A.10.2.1,PB03,Lut
PB03_03912,PB03a,glucose,3.A.1.139.1,PB03,Lut
PB03_03960,PB03a,iron|manganese,2.A.89.3.8,PB03,Lut
PB03_03963,PB03a,sulfate,3.A.1.132.14,PB03,Lut
PB03_04043,PB03a,sodium,3.A.1.115.1,PB03,Lut
PB03_04065,PB03a,magnesium,3.A.3.4.5,PB03,Lut
PB03_04148,PB03a,d-mannitol|fucose|lactose|maltodextrin|maltose|melibiose|trehalose,3.A.1.1.4|3.A.1.1.49,PB03,Lut
PB03_04150,PB03a,trehalose,3.A.1.1.41,PB03,Lut
PB03_04151,PB03a,maltose|sucrose|trehalose,3.A.1.1.8,PB03,Lut
PB03_04172,PB03a,potassium|sodium,2.A.133.1.1,PB03,Lut
PB03_04323,PB03a,d-glucosamine,4.A.1.1.15,PB03,Lut
PB03_04336,PB03a,chloride|citrate|fad|sodium,2.A.66.1.2|2.A.66.1.25,PB03,Lut
PB03_04356,PB03a,potassium,3.A.3.7.1,PB03,Lut
PB03_04387,PB03a,choline,3.A.1.1.50,PB03,Lut
PB03_04417,PB03a,arabinose|deoxyguanosine|xylitol|xylose,3.A.1.2.1,PB03,Lut
PB04_00041,PB04,d-fructose|phosphate,2.A.66.4.1,PB04,Phe
PB04_00055,PB04,sodium,3.A.1.115.2,PB04,Phe
PB04_00103,PB04,glycine|l-alanine|l-serine|l-threonine,2.A.95.1.4,PB04,Phe
PB04_00106,PB04,nad,1.A.115.1.2,PB04,Phe
PB04_00107,PB04,potassium,2.A.72.1.1,PB04,Phe
PB04_00205,PB04,mannose,4.A.6.2.2,PB04,Phe
PB04_00208,PB04,cobalt|nickel,3.A.1.23.8,PB04,Phe
PB04_00272,PB04,heme,3.A.1.107.1,PB04,Phe
PB04_00303,PB04,chloride,2.A.1.3.50,PB04,Phe
PB04_00323,PB04,iron,3.A.1.9.1,PB04,Phe
PB04_00416,PB04,sodium,3.A.1.115.1,PB04,Phe
PB04_00418,PB04,betaine|l-proline,3.A.1.5.17,PB04,Phe
PB04_00428,PB04,cadmium|zinc,2.A.4.7.8,PB04,Phe
PB04_00450,PB04,gamma-aminobutyric acid,3.A.1.4.3,PB04,Phe
PB04_00459,PB04,fructose,4.A.2.1.15,PB04,Phe
PB04_00469,PB04,arsenite|glycerol,1.A.8.12.1|1.A.8.12.10,PB04,Phe
PB04_00508,PB04,iron|succinate,3.D.10.1.6,PB04,Phe
PB04_00544,PB04,sodium,3.A.2.1.5,PB04,Phe
PB04_00563,PB04,biotin,3.A.1.25.2,PB04,Phe
PB04_00580,PB04,cadmium|cobalt|zinc,2.A.4.3.9,PB04,Phe
PB04_00667,PB04,potassium,2.A.37.1.2,PB04,Phe
PB04_00693,PB04,potassium,2.A.37.1.3,PB04,Phe
PB04_00727,PB04,aspartate|glutamate,2.A.23.1.5,PB04,Phe
PB04_00779,PB04,chloride,2.A.6.3.8,PB04,Phe
PB04_00792,PB04,l-threonine|serine,2.A.76.1.1,PB04,Phe
PB04_00897,PB04,sucrose,2.A.123.2.14,PB04,Phe
PB04_00902,PB04,phosphate,3.A.1.7.2|3.A.1.7.5,PB04,Phe
PB04_00910,PB04,cadmium|cobalt|copper|nickel|zinc,2.A.4.1.1,PB04,Phe
PB04_00925,PB04,potassium,1.A.78.2.3,PB04,Phe
PB04_01139,PB04,iron,3.D.3.1.1,PB04,Phe
PB04_01175,PB04,potassium|sodium,2.A.33.1.2,PB04,Phe
PB04_01194,PB04,guanosine,2.A.40.7.2,PB04,Phe
PB04_01275,PB04,cyanocob(iii)alamin|iron,3.A.1.14.18|3.A.1.14.26,PB04,Phe
PB04_01276,PB04,iron,3.A.1.14.8,PB04,Phe
PB04_01277,PB04,nad,1.A.115.1.3,PB04,Phe
PB04_01289,PB04,phosphate,3.A.1.7.1,PB04,Phe
PB04_01290,PB04,potassium,2.A.72.1.3,PB04,Phe
PB04_01296,PB04,potassium,3.A.3.7.2,PB04,Phe
PB04_01305,PB04,chloride|copper|deoxycholate|sodium|sulfate|zinc,2.A.6.2.12,PB04,Phe
PB04_01321,PB04,chloride|copper|deoxycholate|sodium|sulfate|thiamine|zinc,2.A.6.2.1,PB04,Phe
PB04_01336,PB04,glycerol,1.A.8.13.3,PB04,Phe
PB04_01381,PB04,coa,4.C.1.1.8,PB04,Phe
PB04_01452,PB04,acetate|aspartate|benzoate|fumarate|glutamate|malate|succinate,2.A.23.1.1|2.A.23.1.10,PB04,Phe
PB04_01478,PB04,fructose,4.A.2.1.26,PB04,Phe
PB04_01493,PB04,chromate,2.A.51.1.7,PB04,Phe
PB04_01512,PB04,sodium,1.A.104.1.1,PB04,Phe
PB04_01579,PB04,arabinose|arginine|deoxycholate|histidine|lysine,2.A.1.3.2,PB04,Phe
PB04_01607,PB04,betaine|choline|glycine,3.A.1.12.15,PB04,Phe
PB04_01608,PB04,betaine|glycine|proline,3.A.1.12.8,PB04,Phe
PB04_01643,PB04,sulfate|thiosulfate,3.A.1.19.4,PB04,Phe
PB04_01644,PB04,molybdate|sodium,3.A.1.8.4,PB04,Phe
PB04_01676,PB04,chloride|sodium|sulfate|zinc,2.A.1.2.9,PB04,Phe
PB04_01823,PB04,sodium,1.A.30.2.1,PB04,Phe
PB04_01934,PB04,chloride|citrate|fad|sodium,2.A.66.1.2|2.A.66.1.27,PB04,Phe
PB04_02003,PB04,iron,3.A.1.210.4,PB04,Phe
PB04_02049,PB04,ammonia,1.A.11.1.4,PB04,Phe
PB04_02177,PB04,sodium,2.A.28.3.4,PB04,Phe
PB04_02253,PB04,heme|iron,3.A.1.210.1|3.A.1.210.15,PB04,Phe
PB04_02293,PB04,pyrophosphate,3.A.10.2.1,PB04,Phe
PB04_02332,PB04,alanine|arginine|asparagine|glutamate|glutamine|histidine|l-glutamic acid|l-proline|l-threonine|lysine|serine|tyrosine|valine,3.A.1.3.2|3.A.1.3.26,PB04,Phe
PB04_02482,PB04,formate,3.D.9.1.2,PB04,Phe
PB04_02488,PB04,iron,3.D.1.6.1,PB04,Phe
PB04_02506,PB04,lactate,2.A.106.1.8,PB04,Phe
PB04_02605,PB04,asparagine|cysteine|glutamine|s-adenosyl-l-methionine,2.A.7.3.2,PB04,Phe
PB04_02636,PB04,l-isoleucine|leucine|valine,2.A.3.3.23,PB04,Phe
PB04_02641,PB04,l-cysteine,3.A.1.122.1,PB04,Phe
PB04_02697,PB04,sodium,3.B.1.1.2,PB04,Phe
PB04_02703,PB04,chloride,1.A.43.1.1,PB04,Phe
PB04_02712,PB04,arabinose|potassium,2.A.1.2.3,PB04,Phe
PB04_02779,PB04,putrescine,3.A.1.11.2,PB04,Phe
PB04_02780,PB04,putrescine|spermidine,3.A.1.11.1|3.A.1.11.10,PB04,Phe
PB04_02900,PB04,l-histidine,3.A.1.24.5,PB04,Phe
PB04_02902,PB04,l-methionine,3.A.1.24.4,PB04,Phe
PB04_02945,PB04,arabinose|deoxycholate,2.A.1.3.26,PB04,Phe
PB04_02951,PB04,sulfate|thiosulfate,3.A.1.6.12,PB04,Phe
PB04_02953,PB04,sulfate,3.A.1.6.3,PB04,Phe
PB04_02954,PB04,sodium|sulfate|thiosulfate,3.A.1.6.1,PB04,Phe
PB04_02983,PB04,copper,3.A.1.145.3,PB04,Phe
PB04_02990,PB04,phosphate,2.A.58.2.1,PB04,Phe
PB04_02992,PB04,phosphate,2.A.20.1.4,PB04,Phe
PB04_03008,PB04,phosphate,2.A.1.49.7,PB04,Phe
PB04_03041,PB04,cadmium|cobalt|copper|nickel|zinc,2.A.6.1.1|2.A.6.1.16,PB04,Phe
PB04_03108,PB04,agmatine|arginine,2.A.3.2.5,PB04,Phe
PB04_03171,PB04,salicin,1.B.14.8.1,PB04,Phe
PB04_03179,PB04,nickel,2.A.52.1.1,PB04,Phe
